"","P09923","P05186","P05187","P10696","A0A2R8YDJ8.1","A0A2R8YDJ8.2","O60729.1","O60729.2","Q16667","P28562","Q05923","Q13115","Q16690","Q9Y6W6","O75319","Q9UNI6","Q6FI36","Q8NEJ0","Q9H596","Q4G0W2","Q9H1R2","Q9NRW4","Q8WTR2","Q9BVJ7","Q68J44","Q9UII6","Q9BV47","Q5VZP5","P51452","Q16828","Q16829","Q99956","Q9BY84","Q13202","O95278","Q93096","Q12974","O75365","A2A3K4","Q8WUK0","O60942","Q8WYL5","Q76I76","Q8TE77","Q8WUJ0","Q9Y6J8","Q13496","Q13613","Q13614","Q9NXD2","A4FU01","Q9C0I1","Q8NCE2","Q13615","Q9NYA4","O95248","Q86WG5","Q9Y217","Q9Y216","Q96EF0","Q96QG7","Q9ULE6.1","Q9ULE6.2","O75061","O14976","P60484","Q9HBL0","Q63HR2","Q68CZ2","P56180","Q6XPS3","P18031","P17706","Q05209","Q99952","Q9Y2R2","Q12923","Q4JDL3","Q15678","Q16825","Q9H3S7","P26045","P29074","P54829","P35236","Q15256","Q06124","Q53XS4","Q6IQ43","P18433.1","P18433.2","P23469.1","P23469.2","P23467","Q9HD43","Q12913","Q16827","A0A087WZU1","P08575.1","P08575.2","Q2HXI4.1","Q2HXI4.2","P10586.1","P10586.2","Q13332.1","Q13332.2","P23470.1","P23470.2","P23471.1","P23471.2","Q5TG12.1","Q5TG12.2","P28827.1","P28827.2","O14522.1","O14522.2","Q92729.1","Q92729.2","Q16849","Q92932","Q92562","Q9Y2H2","Q9NTJ5","O43426","O15056","P24666","Q9NP77","P30304","P30305","P30307","Q99502","O00167","Q99504","A0A0S2Z3Q2","Q05D32","O95476","Q9Y5B0","Q9GZU7","O14595","O15194","Q3ZCQ8","Q8WVY7","Q9BXW7","Q9H0R4","Q9H008","Q96GD0","A6NDG6","P16118","O60825","Q16875","Q16877","P07738","Q6FHU2","P15259","Q8N0Y7","Q96HS1","P57075","Q8TF42","Q9NQ88","P11117","P15309","Q9BZG2","Q9NPH0","Q9UNW1","B7WPL9","A0A087WZV0","Q8TE99","Q9NRX4","Q9H0C8","Q9P0J1","Q9P2J9","O60346","Q6ZVD8","A8MPX8","P35813","O75688","Q8N819","O15297","Q8WY54","P49593","O15355","Q9ULR3","Q5JR12","Q96MI6","Q8N3J5","Q5SGD2","Q8NI37","Q15750","P13686","Q6ZNF0","P62136","P62140","P36873","P67775","P62714","Q08209","P16298","P48454","P60510","P53041","O00743","O14829","O14830","Q8IXW5"
"P11117",0.88516,0.89574,0.87964,0.87523,0.87257,0.88866,0.87878,0.87429,0.88749,0.8576,0.88377,0.87332,0.88433,0.86077,0.85909,0.8596,0.87035,0.88691,0.87264,0.88898,0.86881,0.86963,0.88373,0.88698,0.87387,0.8762,0.87956,0.87791,0.87987,0.86683,0.86847,0.89479,0.88747,0.87593,0.89008,0.86991,0.88506,0.87383,0.87994,0.86837,0.86344,0.87228,0.88019,0.88834,0.86748,0.89486,0.85796,0.87758,0.88477,0.88089,0.87779,0.88428,0.86659,0.85756,0.88317,0.89291,0.88454,0.89493,0.88756,0.90085,0.88568,0.8913,0.86742,0.87609,0.87512,0.88527,0.8795,0.86599,0.8668,0.88148,0.89527,0.87654,0.87852,0.88704,0.89154,0.88704,0.88625,0.88423,0.87257,0.87398,0.87082,0.88575,0.87773,0.87754,0.87477,0.8883,0.85647,0.88693,0.88121,0.89374,0.87165,0.89401,0.88954,0.88953,0.87506,0.87949,0.89667,0.87475,0.89263,0.87389,0.88502,0.86974,0.87291,0.88698,0.8837,0.87193,0.85279,0.88702,0.88863,0.86548,0.87979,0.87041,0.88427,0.88883,0.8761,0.89953,0.88351,0.87633,0.8854,0.88829,0.87163,0.87929,0.89383,0.89032,0.8694,0.8811,0.8617,0.88435,0.88047,0.8668,0.8841,0.85512,0.88165,0.88309,0.8607,0.87124,0.87638,0.89212,0.8811,0.8866,0.87643,0.88131,0.87725,0.89266,0.88232,0.87821,0.87731,0.87796,0.84393,0.85446,0.88929,0.87808,0.87926,0.90129,0.89614,0.87786,0.88605,0.8809,0.87924,0,0.58226,0.70473,0.85974,0.85785,0.88833,0.88645,0.89297,0.87743,0.87787,0.87849,0.89539,0.8851,0.87425,0.89274,0.83611,0.89011,0.85267,0.88748,0.88554,0.89754,0.8947,0.85587,0.88876,0.8766,0.87457,0.8812,0.87246,0.88361,0.88143,0.88234,0.88887,0.89032,0.88515,0.86772,0.8812,0.87956,0.87181,0.88155,0.88508,0.88918,0.86384,0.86998,0.88077,0.88663
"P15309",0.88326,0.89247,0.89173,0.87761,0.88498,0.86652,0.87422,0.85678,0.89132,0.86897,0.86827,0.87921,0.86874,0.89195,0.88791,0.87615,0.88016,0.87573,0.88678,0.87826,0.8726,0.85394,0.8769,0.87865,0.89157,0.8801,0.85137,0.86279,0.88866,0.88938,0.87668,0.89274,0.87491,0.87855,0.87863,0.88824,0.87941,0.87323,0.89298,0.87501,0.89042,0.86005,0.86332,0.82604,0.89239,0.88491,0.89978,0.89288,0.89992,0.88586,0.87453,0.88639,0.8734,0.86948,0.88179,0.88583,0.87171,0.88621,0.89301,0.87321,0.89373,0.87626,0.88268,0.87102,0.89271,0.86851,0.88032,0.87367,0.86615,0.88091,0.88333,0.88383,0.89336,0.87268,0.87806,0.88709,0.88769,0.87917,0.87257,0.87075,0.86857,0.87979,0.86966,0.87465,0.88209,0.89517,0.8876,0.88211,0.89016,0.90234,0.87455,0.88981,0.88664,0.87025,0.88509,0.87333,0.88164,0.85633,0.88413,0.8663,0.87048,0.87732,0.8873,0.859,0.88631,0.86472,0.88822,0.87515,0.88965,0.88674,0.88111,0.86335,0.87897,0.87816,0.87551,0.86708,0.87792,0.89297,0.89014,0.88586,0.88992,0.87617,0.87561,0.89928,0.87633,0.89813,0.87938,0.86068,0.87683,0.88342,0.88292,0.89612,0.87588,0.87282,0.86812,0.8724,0.89669,0.84308,0.88111,0.84382,0.88505,0.85783,0.8903,0.89566,0.88179,0.88325,0.89176,0.88965,0.87073,0.88049,0.89076,0.86824,0.87771,0.88128,0.8811,0.85911,0.89884,0.8953,0.87367,0.58226,0,0.83166,0.85501,0.87816,0.88413,0.89665,0.86746,0.85911,0.84775,0.88757,0.86412,0.88729,0.88145,0.85702,0.87695,0.899,0.8849,0.87945,0.87405,0.84356,0.8869,0.89373,0.88984,0.88861,0.87601,0.88016,0.901,0.89377,0.8954,0.87357,0.88634,0.86526,0.89515,0.88128,0.87571,0.88228,0.87482,0.87545,0.88934,0.89036,0.89104,0.87871,0.85458,0.86066
"Q9BZG2",0.89416,0.86642,0.8969,0.89318,0.8639,0.85874,0.88184,0.87134,0.86828,0.86216,0.8937,0.87779,0.88771,0.88029,0.81862,0.87543,0.88745,0.86879,0.88195,0.8792,0.87771,0.88101,0.88112,0.89527,0.86772,0.88276,0.87911,0.87486,0.87599,0.87669,0.87483,0.87854,0.88228,0.8913,0.89266,0.88297,0.87775,0.88732,0.88776,0.87908,0.87141,0.85584,0.87998,0.88639,0.88935,0.88938,0.88451,0.88093,0.87322,0.8811,0.87394,0.8884,0.87174,0.88501,0.89611,0.90041,0.88749,0.89091,0.88654,0.88596,0.87227,0.90338,0.85325,0.86841,0.87695,0.88553,0.87842,0.86889,0.88328,0.86869,0.87509,0.88568,0.89429,0.89818,0.89593,0.89147,0.88667,0.90331,0.87923,0.85512,0.87932,0.87955,0.89286,0.87504,0.88723,0.89776,0.8859,0.87924,0.8838,0.87518,0.89605,0.87217,0.88682,0.88572,0.86637,0.88558,0.8827,0.8848,0.87812,0.87417,0.89157,0.89992,0.87807,0.88406,0.89369,0.8924,0.86832,0.8573,0.88633,0.87391,0.87275,0.86466,0.85185,0.87592,0.88849,0.85941,0.87955,0.88956,0.8868,0.84723,0.8876,0.89063,0.89048,0.85826,0.89483,0.87993,0.87116,0.88756,0.87437,0.87952,0.87399,0.87742,0.86247,0.8736,0.88794,0.87362,0.89071,0.87607,0.89716,0.88254,0.87537,0.88828,0.88691,0.8772,0.87259,0.88446,0.89172,0.88374,0.8845,0.88407,0.87895,0.87655,0.87492,0.8857,0.8757,0.87595,0.88367,0.87128,0.88354,0.70473,0.83166,0,0.87192,0.8923,0.88639,0.88259,0.87717,0.84455,0.89321,0.8798,0.88271,0.87872,0.8903,0.88249,0.88688,0.87858,0.89163,0.8657,0.88175,0.877,0.89631,0.8736,0.88789,0.85227,0.85136,0.89432,0.89858,0.87597,0.88357,0.8676,0.85044,0.8693,0.86688,0.88582,0.88186,0.87448,0.87658,0.88692,0.89763,0.88921,0.87543,0.89454,0.88601,0.87912
"Q9NPH0",0.8725,0.86951,0.88656,0.88974,0.88842,0.87911,0.87618,0.87786,0.87859,0.86595,0.87878,0.88581,0.86459,0.88228,0.87556,0.87626,0.86894,0.87567,0.88481,0.88148,0.88125,0.8926,0.88524,0.88265,0.88721,0.88479,0.88823,0.86957,0.87393,0.8855,0.89068,0.89727,0.8712,0.88299,0.89097,0.8847,0.88588,0.88303,0.89145,0.87558,0.89247,0.88756,0.89121,0.88131,0.88712,0.86471,0.86848,0.87499,0.87667,0.88132,0.89822,0.90236,0.88158,0.88159,0.87844,0.88238,0.8942,0.8841,0.88786,0.86625,0.88898,0.89737,0.8709,0.89417,0.88799,0.88182,0.88233,0.88804,0.891,0.88739,0.89722,0.88532,0.88674,0.87765,0.87338,0.88717,0.89597,0.88493,0.89617,0.8855,0.8882,0.89474,0.88607,0.88269,0.8841,0.89072,0.86931,0.89795,0.8674,0.87735,0.85635,0.89564,0.8879,0.8701,0.8823,0.88849,0.88578,0.85054,0.88183,0.88344,0.88455,0.88945,0.88383,0.88833,0.87151,0.89839,0.85508,0.88745,0.88524,0.88957,0.89712,0.86984,0.88322,0.89127,0.8908,0.88958,0.8781,0.87378,0.88375,0.88732,0.90097,0.87093,0.90018,0.88476,0.86841,0.88591,0.86217,0.87866,0.87819,0.88963,0.90032,0.89768,0.8821,0.88755,0.865,0.8641,0.89072,0.8968,0.87484,0.86729,0.86607,0.87042,0.88011,0.87694,0.90091,0.88941,0.89386,0.89472,0.89107,0.88989,0.88887,0.88785,0.89025,0.87925,0.8884,0.86569,0.87683,0.8683,0.87176,0.85974,0.85501,0.87192,0,0.89682,0.84169,0.87346,0.88322,0.88125,0.87528,0.89356,0.88509,0.84942,0.89407,0.89578,0.87849,0.88636,0.89101,0.88289,0.88707,0.87536,0.8851,0.88201,0.88165,0.89116,0.87373,0.87475,0.88365,0.88582,0.88755,0.89536,0.8619,0.87403,0.88598,0.8819,0.8622,0.88397,0.89319,0.87948,0.86295,0.86275,0.87623,0.88865,0.88461,0.88825
"Q9UNW1",0.89087,0.88129,0.86861,0.86262,0.88742,0.85991,0.86322,0.88408,0.89254,0.89171,0.89549,0.88624,0.89144,0.87679,0.89199,0.88691,0.86988,0.88738,0.89156,0.86353,0.86354,0.88752,0.89275,0.87622,0.88005,0.89365,0.87965,0.89419,0.89611,0.89842,0.88881,0.87232,0.87123,0.88448,0.88677,0.88171,0.88314,0.88316,0.88525,0.85202,0.87238,0.88689,0.883,0.88761,0.88416,0.8848,0.89406,0.88664,0.85993,0.88262,0.89104,0.88338,0.88687,0.8691,0.87369,0.87232,0.889,0.87494,0.89719,0.88224,0.89454,0.88459,0.90368,0.88051,0.88025,0.89103,0.87403,0.8745,0.88336,0.8725,0.87716,0.88343,0.88799,0.87559,0.87387,0.88061,0.89611,0.89483,0.88507,0.89465,0.89442,0.87266,0.87904,0.88554,0.8715,0.87133,0.87383,0.89187,0.84652,0.87436,0.88014,0.88225,0.87068,0.87344,0.86387,0.87412,0.87724,0.88349,0.88953,0.88498,0.87589,0.88821,0.88532,0.89099,0.88547,0.89004,0.89762,0.88167,0.89271,0.89339,0.88029,0.89423,0.89633,0.89519,0.88338,0.89038,0.89894,0.89365,0.88735,0.89767,0.88364,0.88365,0.88247,0.88541,0.8744,0.89901,0.88139,0.88689,0.89279,0.87684,0.8587,0.86908,0.87044,0.88923,0.88291,0.87533,0.8836,0.88021,0.86603,0.86512,0.87768,0.88568,0.89907,0.89151,0.88915,0.87554,0.89083,0.89691,0.88584,0.85927,0.89782,0.85832,0.85801,0.87423,0.87222,0.88999,0.8605,0.87119,0.89317,0.85785,0.87816,0.8923,0.89682,0,0.89534,0.88336,0.89088,0.88307,0.88699,0.87447,0.87903,0.88044,0.86839,0.88588,0.87362,0.88075,0.88409,0.8876,0.86337,0.868,0.89057,0.87735,0.8879,0.85605,0.88952,0.89746,0.89449,0.88066,0.88155,0.88227,0.88044,0.88207,0.86412,0.87971,0.88535,0.8941,0.88759,0.88472,0.89475,0.89384,0.88909,0.89411,0.88188,0.8865
"B7WPL9",0.89105,0.90072,0.895,0.89026,0.88311,0.88898,0.88737,0.89067,0.88844,0.88402,0.8815,0.87763,0.88565,0.88634,0.89915,0.90263,0.8683,0.88983,0.88289,0.88461,0.87294,0.87277,0.87968,0.90107,0.88079,0.86925,0.88365,0.89664,0.89268,0.87776,0.88338,0.88901,0.86954,0.89048,0.89089,0.87025,0.85695,0.87345,0.89078,0.88481,0.87529,0.86414,0.86218,0.84344,0.89593,0.8521,0.88581,0.89203,0.88649,0.87557,0.88345,0.89832,0.8589,0.8983,0.89147,0.88688,0.89176,0.88805,0.89923,0.88853,0.89552,0.88331,0.87612,0.89955,0.87048,0.88674,0.88166,0.87201,0.89737,0.85087,0.87299,0.87581,0.89178,0.892,0.89736,0.87541,0.89808,0.88762,0.89522,0.87605,0.88559,0.88922,0.88567,0.88219,0.89931,0.87048,0.8777,0.87887,0.86941,0.88762,0.85863,0.89418,0.8953,0.8926,0.88576,0.88799,0.87721,0.89503,0.88691,0.88528,0.88784,0.8803,0.87609,0.87855,0.86864,0.87909,0.87334,0.88643,0.88908,0.88875,0.89173,0.89232,0.87055,0.90039,0.89197,0.88947,0.89148,0.88095,0.89585,0.88313,0.88979,0.88337,0.89473,0.87879,0.88546,0.89376,0.89802,0.887,0.88448,0.87127,0.88226,0.90455,0.88323,0.88473,0.87889,0.89861,0.8755,0.89183,0.9013,0.88971,0.88614,0.89916,0.87939,0.87182,0.87206,0.87781,0.86602,0.88566,0.90006,0.89185,0.88735,0.89421,0.88222,0.88602,0.89862,0.89554,0.86569,0.88352,0.88504,0.88833,0.88413,0.88639,0.84169,0.89534,0,0.48805,0.88066,0.88404,0.88932,0.87824,0.89662,0.88995,0.88268,0.8829,0.86476,0.88949,0.87565,0.89809,0.89892,0.88202,0.87294,0.88843,0.87388,0.87949,0.89664,0.88746,0.87142,0.89634,0.88534,0.895,0.8976,0.89172,0.88454,0.897,0.88147,0.88802,0.8805,0.89503,0.87926,0.88319,0.88992,0.89226,0.87503,0.88477
"A0A087WZV0",0.88567,0.89872,0.87614,0.8765,0.88001,0.87977,0.88625,0.88552,0.89801,0.87481,0.87549,0.85851,0.8917,0.89425,0.88268,0.89203,0.90013,0.88121,0.88096,0.87866,0.88218,0.88372,0.88588,0.89232,0.90071,0.87454,0.88803,0.87848,0.89188,0.88293,0.89039,0.88008,0.8836,0.87732,0.89005,0.86878,0.87804,0.87015,0.87689,0.87786,0.8805,0.84808,0.84989,0.86585,0.88045,0.89309,0.88332,0.87013,0.8811,0.88803,0.89287,0.89469,0.88188,0.88074,0.88311,0.87707,0.87777,0.88759,0.87265,0.88891,0.8904,0.87791,0.88022,0.90404,0.8755,0.87989,0.88396,0.8881,0.89264,0.89452,0.89179,0.88791,0.87395,0.87945,0.89867,0.88473,0.89333,0.885,0.89029,0.90084,0.88666,0.85939,0.89467,0.87134,0.88774,0.88978,0.87717,0.89125,0.89321,0.89679,0.89635,0.87291,0.89876,0.88576,0.87593,0.89201,0.87991,0.87479,0.88567,0.89722,0.90483,0.88874,0.87872,0.89909,0.89915,0.88323,0.89038,0.87572,0.89685,0.89478,0.89353,0.8845,0.875,0.89581,0.89143,0.88961,0.89114,0.87663,0.88761,0.89485,0.89021,0.89592,0.9004,0.87767,0.88606,0.89268,0.88347,0.89155,0.88387,0.88001,0.87523,0.88858,0.89538,0.88029,0.86803,0.88272,0.88917,0.87579,0.88678,0.8879,0.86685,0.89259,0.88472,0.87987,0.88526,0.89738,0.89048,0.88308,0.88519,0.89174,0.87066,0.88174,0.87198,0.87804,0.85932,0.89359,0.88415,0.88991,0.89461,0.88645,0.89665,0.88259,0.87346,0.88336,0.48805,0,0.8851,0.88481,0.88625,0.90241,0.86846,0.88111,0.8923,0.89277,0.87053,0.87327,0.89707,0.86158,0.89068,0.8831,0.88671,0.87339,0.89275,0.87755,0.86532,0.88526,0.89113,0.8856,0.88639,0.88446,0.87689,0.88872,0.87311,0.88935,0.88948,0.89271,0.88019,0.89584,0.8985,0.88395,0.87571,0.86994,0.88896,0.88744
"Q8TE99",0.88686,0.87614,0.88159,0.89391,0.88431,0.87855,0.87813,0.86774,0.8751,0.88172,0.8915,0.88444,0.87601,0.89927,0.88742,0.8868,0.88895,0.88301,0.88748,0.87494,0.88511,0.88741,0.86667,0.89444,0.85965,0.86195,0.86866,0.88993,0.88961,0.87458,0.87584,0.87399,0.85985,0.89673,0.87523,0.88852,0.88409,0.88154,0.88767,0.88618,0.84409,0.88143,0.90127,0.86704,0.88208,0.87963,0.87703,0.87801,0.89319,0.87822,0.87957,0.88541,0.88923,0.8854,0.89105,0.89566,0.87028,0.88689,0.87844,0.89738,0.89483,0.88739,0.86735,0.87203,0.87348,0.88325,0.8807,0.89072,0.88961,0.88769,0.88937,0.88807,0.86406,0.87238,0.87949,0.86692,0.89297,0.88767,0.87029,0.87678,0.89473,0.86175,0.88075,0.87895,0.8747,0.8743,0.89411,0.88042,0.89099,0.8805,0.86183,0.89669,0.87645,0.89192,0.89418,0.89224,0.87858,0.8918,0.90963,0.88945,0.87438,0.87912,0.87771,0.87598,0.86634,0.8706,0.90284,0.89001,0.90275,0.88786,0.89545,0.89103,0.87504,0.89496,0.85619,0.89642,0.8954,0.87316,0.8962,0.89651,0.89163,0.87414,0.89584,0.8925,0.88414,0.89034,0.894,0.87056,0.88484,0.90041,0.89306,0.88624,0.88749,0.89253,0.88926,0.87342,0.88438,0.88725,0.87609,0.87965,0.87705,0.86629,0.89203,0.88549,0.88131,0.88429,0.88199,0.88722,0.89723,0.87607,0.90036,0.86856,0.87965,0.89316,0.87904,0.89366,0.88888,0.87159,0.87863,0.89297,0.86746,0.87717,0.88322,0.89088,0.88066,0.8851,0,0.87794,0.86845,0.87574,0.89487,0.88552,0.88231,0.89467,0.8548,0.87891,0.88196,0.86824,0.87387,0.88441,0.88881,0.88427,0.8832,0.88224,0.87045,0.87416,0.87387,0.90037,0.90006,0.86978,0.90049,0.90703,0.90455,0.88913,0.87654,0.89628,0.89228,0.89376,0.88515,0.88927,0.89279,0.89306,0.88042,0.87411
"Q9NRX4",0.88889,0.89957,0.86965,0.86974,0.79424,0.84232,0.85666,0.86564,0.85542,0.86025,0.83937,0.80746,0.83073,0.83764,0.85498,0.80267,0.87178,0.84012,0.84289,0.83053,0.86743,0.85287,0.86377,0.82753,0.8712,0.85849,0.86089,0.85709,0.82318,0.85495,0.81732,0.84649,0.80933,0.84588,0.84359,0.83733,0.85505,0.86528,0.85317,0.83235,0.86417,0.83934,0.84619,0.8459,0.85544,0.8079,0.88469,0.88166,0.87744,0.89147,0.89876,0.89581,0.8589,0.89571,0.88143,0.87975,0.89444,0.89108,0.88423,0.89145,0.88272,0.85674,0.88037,0.8327,0.85196,0.83097,0.83595,0.84763,0.79836,0.82115,0.83476,0.87483,0.85372,0.85238,0.86569,0.87206,0.8647,0.88774,0.84679,0.84705,0.88154,0.87299,0.83275,0.87406,0.83393,0.82482,0.85053,0.88306,0.85916,0.88154,0.86379,0.88429,0.87385,0.86783,0.87637,0.87067,0.86484,0.83602,0.8597,0.87154,0.83835,0.84407,0.83046,0.85708,0.81098,0.85121,0.86939,0.8738,0.85972,0.86442,0.85886,0.87534,0.84728,0.87945,0.83058,0.8508,0.86327,0.87486,0.87245,0.86832,0.8794,0.89406,0.86241,0.85552,0.87027,0.85558,0.8696,0.83277,0.83508,0.83436,0.8755,0.88142,0.87431,0.87235,0.84509,0.82168,0.84272,0.82053,0.83402,0.83367,0.81177,0.84396,0.85997,0.87939,0.84157,0.87279,0.88468,0.86139,0.84936,0.80883,0.84132,0.85632,0.8454,0.87788,0.84141,0.85893,0.82466,0.84833,0.88178,0.87743,0.85911,0.84455,0.88125,0.88307,0.88404,0.88481,0.87794,0,0.88338,0.89927,0.88547,0.8583,0.86464,0.88613,0.86553,0.87949,0.87743,0.88876,0.83545,0.83771,0.88163,0.87502,0.86325,0.86852,0.86152,0.88251,0.87677,0.88619,0.85741,0.83595,0.87505,0.88343,0.88277,0.87703,0.87851,0.86541,0.86554,0.8576,0.8651,0.85849,0.89011,0.87445,0.8949,0.78466
"Q9H0C8",0.89791,0.88694,0.90085,0.8899,0.88736,0.88867,0.86248,0.87753,0.87307,0.86732,0.86505,0.889,0.87112,0.87715,0.87877,0.8623,0.87053,0.87055,0.87369,0.87772,0.85399,0.84233,0.87271,0.87039,0.87758,0.87785,0.89846,0.85364,0.86325,0.83162,0.85412,0.85817,0.85443,0.84947,0.87056,0.8675,0.87925,0.86978,0.85997,0.8483,0.86516,0.89028,0.88353,0.87567,0.86032,0.84125,0.90018,0.88178,0.88862,0.88495,0.88385,0.87912,0.86102,0.88188,0.89369,0.88781,0.8878,0.88189,0.88865,0.89583,0.89343,0.88793,0.88002,0.85321,0.87586,0.8888,0.86616,0.88108,0.86952,0.87986,0.87484,0.87127,0.8779,0.82798,0.86315,0.86825,0.87042,0.86988,0.8737,0.87394,0.86688,0.86146,0.87424,0.87253,0.86801,0.89047,0.88395,0.8695,0.89407,0.87244,0.86713,0.88448,0.88223,0.8853,0.88468,0.88452,0.87383,0.86331,0.89077,0.85894,0.87958,0.89306,0.87612,0.89342,0.88042,0.89171,0.87154,0.89653,0.88533,0.88336,0.87954,0.88191,0.89247,0.89462,0.8812,0.86681,0.87046,0.87493,0.86368,0.88582,0.89102,0.86946,0.89464,0.87923,0.85872,0.87811,0.86409,0.86678,0.87938,0.88387,0.89239,0.88292,0.87549,0.88971,0.8842,0.88789,0.88939,0.86601,0.87576,0.86851,0.837,0.87538,0.89151,0.86277,0.87759,0.8746,0.86855,0.88681,0.88229,0.87638,0.88326,0.87066,0.85596,0.86775,0.88885,0.86799,0.89313,0.88257,0.88064,0.87787,0.84775,0.89321,0.87528,0.88699,0.88932,0.88625,0.86845,0.88338,0,0.89803,0.88263,0.87353,0.89053,0.88877,0.83501,0.83108,0.87589,0.87507,0.87289,0.88198,0.87981,0.88761,0.8823,0.87761,0.86348,0.84325,0.85058,0.87534,0.89542,0.89306,0.88441,0.87547,0.88021,0.88074,0.87989,0.88879,0.87037,0.89455,0.86833,0.89394,0.88378,0.89178,0.86893,0.87321
"Q9P0J1",0.8894,0.8911,0.88862,0.87846,0.88203,0.88234,0.8867,0.86832,0.87868,0.88286,0.86495,0.85478,0.87997,0.87563,0.88347,0.87302,0.87586,0.88817,0.85659,0.88958,0.8771,0.89207,0.84799,0.88528,0.87693,0.88309,0.88655,0.88519,0.88519,0.85042,0.84549,0.87647,0.88506,0.87459,0.86315,0.8897,0.87591,0.88947,0.89512,0.86475,0.89032,0.86453,0.86454,0.86324,0.87873,0.88502,0.87692,0.87889,0.88986,0.88739,0.88755,0.87536,0.85723,0.88206,0.88954,0.89392,0.8903,0.88689,0.8837,0.87594,0.87951,0.88759,0.88985,0.88101,0.87129,0.88713,0.88754,0.88546,0.8612,0.87861,0.88265,0.89127,0.8991,0.87891,0.88359,0.88494,0.88463,0.89159,0.87243,0.86825,0.86637,0.88295,0.88726,0.88825,0.89731,0.88381,0.8997,0.87988,0.88237,0.88672,0.89935,0.88762,0.89184,0.89123,0.88275,0.89034,0.90003,0.86783,0.87705,0.88359,0.88808,0.89004,0.87695,0.88548,0.89757,0.8917,0.88412,0.87114,0.8683,0.89732,0.88097,0.87954,0.86507,0.8749,0.87965,0.85696,0.89478,0.87219,0.88117,0.88597,0.86348,0.88498,0.88421,0.89472,0.88662,0.88463,0.88078,0.89184,0.87466,0.88108,0.87628,0.89865,0.89489,0.87869,0.90016,0.89246,0.87681,0.87609,0.88323,0.88184,0.8843,0.87359,0.88442,0.88186,0.89243,0.88668,0.86713,0.88348,0.90031,0.88833,0.89067,0.89833,0.90158,0.87448,0.8929,0.87988,0.87682,0.87853,0.86769,0.87849,0.88757,0.8798,0.89356,0.87447,0.87824,0.90241,0.87574,0.89927,0.89803,0,0.77711,0.8928,0.8856,0.8843,0.89618,0.88251,0.8809,0.87512,0.89114,0.87875,0.89553,0.89484,0.89292,0.87873,0.88589,0.87747,0.87279,0.8862,0.86957,0.88992,0.89113,0.88273,0.88293,0.89288,0.89988,0.88844,0.88745,0.88611,0.88404,0.89966,0.89401,0.89314,0.9001,0.86611
"Q9P2J9",0.87335,0.89368,0.87836,0.88229,0.88182,0.893,0.87803,0.88413,0.88984,0.88136,0.87303,0.87972,0.87946,0.87835,0.86328,0.8972,0.88384,0.88229,0.89309,0.89211,0.88814,0.89123,0.88372,0.86917,0.88584,0.85959,0.88049,0.88863,0.87977,0.89174,0.87812,0.87779,0.89005,0.87979,0.88578,0.8727,0.89039,0.88522,0.8839,0.86902,0.87539,0.8889,0.8908,0.89,0.84904,0.88078,0.87936,0.88634,0.86967,0.86945,0.90002,0.8979,0.86687,0.8796,0.89148,0.89591,0.86467,0.90083,0.8832,0.90056,0.88356,0.88569,0.88203,0.88483,0.88161,0.90239,0.89263,0.88504,0.88465,0.89057,0.88718,0.88306,0.86616,0.87118,0.887,0.89347,0.8883,0.88288,0.87893,0.87969,0.86637,0.87923,0.86925,0.89144,0.89191,0.88739,0.87927,0.88385,0.8906,0.8826,0.88952,0.86633,0.87908,0.89302,0.88268,0.87579,0.88368,0.88997,0.89728,0.89005,0.89054,0.87355,0.89664,0.89728,0.88795,0.87958,0.90077,0.87464,0.87926,0.89054,0.88797,0.88447,0.88603,0.87483,0.88947,0.88836,0.8972,0.87002,0.87781,0.89143,0.87417,0.88287,0.89471,0.87378,0.88575,0.83623,0.89629,0.87302,0.88611,0.88757,0.84878,0.87852,0.8772,0.86873,0.87819,0.87546,0.88707,0.8758,0.85252,0.8754,0.8799,0.89351,0.89485,0.86631,0.88998,0.87972,0.89448,0.89488,0.88458,0.88916,0.88119,0.87201,0.88641,0.89959,0.90109,0.88625,0.88576,0.88924,0.89434,0.89539,0.86412,0.88271,0.88509,0.87903,0.89662,0.86846,0.89487,0.88547,0.88263,0.77711,0,0.85994,0.88736,0.87284,0.86301,0.88438,0.88586,0.88546,0.88901,0.86762,0.90325,0.86892,0.88806,0.8682,0.88842,0.84817,0.89518,0.87405,0.86765,0.87287,0.8756,0.87849,0.87601,0.85861,0.88121,0.8527,0.85991,0.85926,0.86263,0.87856,0.86661,0.89669,0.87883,0.87845
